"cid";"IUPAC Name";"SMILES"
"183";"[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate";"CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(C)=CCCC(=CCCC(C)=CCCC(C)=CCOP(=O)(OP(O)(OC1OC(C(C(C1NC(=O)C)O)OC1C(NC(=O)C)C(O)C(O)C(O1)CO)CO)=O)O)C)C)C)C"
"184";"4-[[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]amino]-2-amino-4-oxobutanoic acid";"OCC1C(O)C(C(C(O1)NC(=O)CC(C(O)=O)N)NC(C)=O)O"
"185";"2-acetamidopentanedioic acid";"C(CC(NC(=O)C)C(O)=O)C(=O)O"
"186";"phosphono acetate";"OP(O)(OC(=O)C)=O"
"187";"2-acetyloxyethyl(trimethyl)azanium";"C[N+](C)(C)CCOC(=O)C"
"188";"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate";"OC1C(OC(CO)C(OC2C(O)C(C(O)C(CO)O2)O)C1O)OC(=O)C"
"189";"3-acetyloxy-2-aminopropanoic acid";"C(C(O)=O)(COC(C)=O)N"
"190";"7H-purin-6-amine";"n1cnc(N)c2[nH]cnc12"
"191";"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol";"c1(c2c(ncn1)n(cn2)C1OC(C(O)C1O)CO)N"
"192";"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (3,4,5-trihydroxyoxolan-2-yl)methyl hydrogen phosphate";"C1(C(O)C(OC1n1cnc2c(N)ncnc12)COP(OP(OCC1C(O)C(O)C(O)O1)(=O)O)(O)=O)O"
"193";"2-amino-4-[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid";"c1(c2c(ncn1)n(cn2)C1OC(C(O)C1O)CSCCC(C(O)=O)N)N"
"194";"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate";"C1(C(O)C(COP(OP(O)(=O)OP(O)(=O)OP(OCC2C(C(O)C(O2)n2cnc3c(N)ncnc23)O)(O)=O)(O)=O)OC1n1cnc2c(N)ncnc12)O"
"195";"2-[[9-[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-6-yl]amino]butanedioic acid";"OP(O)(=O)OCC1C(C(C(n2c3ncnc(NC(CC(O)=O)C(O)=O)c3nc2)O1)O)O"
"196";"hexanedioic acid";"OC(CCCCC(O)=O)=O"
"197";"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate";"OP(O)(OP(=O)(O)OCC1C(C(O)C(O1)n1cnc2c(N)ncnc12)O)=O"
"198";"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate";"C1(OP(=O)(O)OP(OCC2C(C(O)C(n3c4c(c(ncn4)N)nc3)O2)O)(=O)O)C(O)C(C(O)C(CO)O1)O"
"199";"2-(4-aminobutyl)guanidine";"NC(N)=NCCCCN"
"200";"[5-(5-amino-4-carbamoylimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(=O)OCC1OC(n2c(c(C(N)=O)nc2)N)C(C1O)O"
"201";"3,7,11,15,19,23,27-heptamethyloctacosa-2,6,10,14,18,22,26-heptaenyl phosphono hydrogen phosphate";"CC(C)=CCCC(=CCCC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O)C)C"
"202";"3,7,11,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaenyl phosphono hydrogen phosphate";"CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(C)=CCCC(=CCOP(=O)(OP(O)(O)=O)O)C)C"
"203";"2,2-bis(carbamoylamino)acetic acid";"N(C(=O)N)C(NC(=O)N)C(O)=O"
"204";"(2,5-dioxoimidazolidin-4-yl)urea";"O=C(NC1C(=O)NC(=O)N1)N"
"205";"2-amino-3-hydroxybutanoic acid";"NC(C(O)C)C(=O)O"
"206";"6-(hydroxymethyl)oxane-2,3,4,5-tetrol";"OCC1C(C(C(C(O)O1)O)O)O"
"207";"2-amino-6-oxohexanoic acid";"C(=O)CCCC(C(O)=O)N"
"208";"(3,4,5,6-tetrahydroxyoxan-2-yl)methyl dihydrogen phosphate";"OP(O)(OCC1OC(C(O)C(C1O)O)O)=O"
"209";"5-acetamido-2-[2-[5-acetamido-6-[5-acetamido-6-[(3-acetamido-4-amino-4-oxobutanoyl)amino]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid";"C1(C(C(OC(OC2C(O)C(OC(OC3C(C(C(OC4C(CO)OC(NC(CC(NC(C)=O)C(N)=O)=O)C(C4O)NC(=O)C)OC3CO)NC(=O)C)O)C2O)CO)(C1)C(=O)O)C(C(O)CO)O)NC(C)=O)O"
"210";"5-acetamido-2-[[6-[5-acetamido-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid";"OC1CC(OC(C(C(O)CO)O)C1NC(C)=O)(C(O)=O)OCC1C(C(O)C(O)C(OC2C(OC(C(C2O)NC(C)=O)O)CO)O1)O"
"211";"2-(5,6-dimethylbenzimidazol-1-yl)-5-(hydroxymethyl)oxolane-3,4-diol";"c12n(cnc1cc(C)c(c2)C)C1C(C(C(CO)O1)O)O"
"212";"[5-(5,6-dimethylbenzimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(=O)OCC1OC(n2c3cc(c(cc3nc2)C)C)C(O)C1O"
"213";"7-[3-(3-hydroxyoct-1-enyl)-2,6-dioxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid";"C(CC)CCC(O)C=CC1OC2CC(C1CC=CCCCC(=O)O)O2"
"214";"7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]heptanoic acid";"O=C(O)CCCCCCC1C(=O)CC(C1C=CC(O)CCCCC)O"
"215";"1-aminopropan-2-one";"CC(=O)CN"
"216";"(4-amino-2-methylpyrimidin-5-yl)methyl dihydrogen phosphate";"OP(O)(OCc1c(nc(nc1)C)N)=O"
"217";"(4-amino-2-methylpyrimidin-5-yl)methyl phosphono hydrogen phosphate";"OP(O)(=O)OP(O)(OCc1cnc(nc1N)C)=O"
"219";"2-amino-3-oxobutanoic acid";"OC(C(N)C(C)=O)=O"
"220";"4-diethoxyphosphinothioyloxyaniline";"c1cc(ccc1N)OP(OCC)(OCC)=S"
"221";"5-amino-6-(2,3,4,5-tetrahydroxypentylamino)-1H-pyrimidine-2,4-dione";"O=C1NC(NC(NCC(C(C(CO)O)O)O)=C1N)=O"
"222";"azane";"N"
"223";"azanium";"[NH4+]"
"224";"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(=O)OCC1C(C(O)C(n2cnc3c(N)ncnc23)O1)O"
"225";"3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one";"C12CCC3(C)C(C1CCC1C2(CCC(O)C1)C)CCC3=O"
"226";"amino(phosphanyl)methanol";"NC(O)P"
"227";"2-aminobenzoic acid";"c1cc(c(cc1)N)C(=O)O"
"228";"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl sulfo hydrogen phosphate";"O=S(=O)(O)OP(O)(OCC1C(O)C(O)C(O1)n1cnc2c(N)ncnc12)=O"
"229";"oxane-2,3,4,5-tetrol";"C1(COC(C(C1O)O)O)O"
"230";"(2,3,4-trihydroxy-5-oxopentyl) dihydrogen phosphate";"OP(O)(=O)OCC(C(O)C(C=O)O)O"
"231";"icosa-5,8,11,14-tetraenoic acid";"C(CC=CCC=CCC=CCCCC(O)=O)=CCCCCC"
"232";"2-amino-5-(diaminomethylideneamino)pentanoic acid";"NC(N)=NCCCC(N)C(O)=O"
"233";"hydrogen arsorate";"[O-][As]([O-])(=O)O"
"234";"arsoric acid";"O[As](O)(O)=O"
"236";"2,4-diamino-4-oxobutanoic acid";"OC(=O)C(CC(=O)N)N"
"237";"4-N-(6-chloro-2-methoxyacridin-9-yl)-1-N,1-N-diethylpentane-1,4-diamine";"CCN(CC)CCCC(C)Nc1c2ccc(cc2nc2ccc(OC)cc12)Cl"
"238";"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate";"OP(O)(OP(OP(=O)(OCC1C(C(O)C(O1)n1cnc2c(N)ncnc12)O)O)(=O)O)=O"
"239";"3-aminopropanoic acid";"C(CC(=O)O)N"
"240";"benzaldehyde";"c1ccccc1C=O"
"241";"benzene";"c1ccccc1"
"242";"benzoate";"c1cc(ccc1)C([O-])=O"
"243";"benzoic acid";"c1cc(ccc1)C(O)=O"
"244";"phenylmethanol";"c1ccccc1CO"
"245";"N-[2,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide";"C1(O)C(C(O)C(CO)OC1OC1C(CO)OC(O)C(NC(C)=O)C1O)O"
"246";"(10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl) hydrogen sulfate";"O=S(=O)(OC1CCC2(C)C3C(CCC2C1)C1C(CC3)(C(=O)CC1)C)O"
"247";"2-(trimethylazaniumyl)acetate";"C[N+](C)(C)CC([O-])=O"
"248";"carboxymethyl(trimethyl)azanium";"C[N+](C)(C)CC(O)=O"
"249";"trimethyl(2-oxoethyl)azanium";"C[N+](C)(C)CC=O"
"250";"3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid";"[nH]1c(c(C)c(CCC(=O)O)c1Cc1c(CCC(=O)O)c(C)c([nH]1)C=C1NC(=O)C(C=C)=C1C)C=C1C(C=C)=C(C)C(=O)N1"
"251";"3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methylidene]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-yl)methylidene]-4-methylpyrrol-3-yl]propanoic acid";"CC1=C(C(=Cc2[nH]c(C=C3NC(=O)C(C)=C3C=C)c(C)c2CCC(=O)O)NC1=CC1=NC(=O)C(C=C)=C1C)CCC(=O)O"
"253";"5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid";"C(C1C2NC(=O)NC2CS1)CCCC(=O)O"
"254";"3-phenylbenzene-1,2-diol";"c1ccccc1-c1c(O)c(ccc1)O"
"255";"bis(4-nitrophenyl) hydrogen phosphate";"c1cc(ccc1OP(Oc1ccc(cc1)[N+](=O)[O-])(O)=O)[N+](=O)[O-]"
"256";"[5-hydroxy-2-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-3-(3-hydroxytetradecanoylamino)oxan-4-yl] 3-hydroxytetradecanoate";"OP(O)(OC1OC(COC2OC(CO)C(C(OC(=O)CC(O)CCCCCCCCCCC)C2NC(CC(O)CCCCCCCCCCC)=O)O)C(O)C(OC(CC(O)CCCCCCCCCCC)=O)C1NC(CC(O)CCCCCCCCCCC)=O)=O"
"257";"[3-hydroxy-2-(hydroxymethyl)-5-(3-hydroxytetradecanoylamino)-6-phosphonooxyoxan-4-yl] 3-hydroxytetradecanoate";"OP(O)(OC1OC(CO)C(O)C(C1NC(=O)CC(CCCCCCCCCCC)O)OC(CC(CCCCCCCCCCC)O)=O)=O"
"258";"3-[[3-amino-5-[carbamimidoyl(methyl)amino]pentanoyl]amino]-6-(4-amino-2-oxopyrimidin-1-yl)-3,6-dihydro-2H-pyran-2-carboxylic acid";"N(C1C=CC(OC1C(=O)O)N1C(N=C(N)C=C1)=O)C(CC(CCN(C(=N)N)C)N)=O"
"259";"bromide";"[Br-]"
"260";"bromane";"Br"
"261";"butanal";"C(CC=O)C"
"262";"butane-2,3-diol";"CC(O)C(C)O"
"263";"butan-1-ol";"C(CCO)C"
"264";"butanoic acid";"C(C)CC(=O)O"
"265";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] butanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(CCC)=O)O"
"266";"phosphono butanoate";"OP(O)(=O)OC(=O)CCC"
"267";"6-[[4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid";"C(C(C)OC1C(C(OC(OP(=O)(OP(=O)(OCC2OC(N3C=CC(=O)NC3=O)C(C2O)O)O)O)C1NC(C)=O)CO)O)(=O)NC(C)C(NC(C(=O)O)CCC(=O)NC(C(=O)NC(C(=O)NC(C(O)=O)C)C)CCCC(C(O)=O)N)=O"
"268";"4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid";"NCCCCC(NC(=O)C(NC(C(C)NC(C(C)OC1C(C(OC(OP(=O)(OP(=O)(OCC2OC(N3C=CC(=O)NC3=O)C(C2O)O)O)O)C1NC(C)=O)CO)O)=O)=O)CCC(O)=O)C(=O)NC(C(=O)NC(C(O)=O)C)C"
"269";"6-[[4-[2-[2-[3-acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid";"CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCOP(=O)(OP(O)(=O)OC1C(C(OC(C(=O)NC(C)C(NC(CCC(=O)NC(CCCC(N)C(=O)O)C(NC(C)C(=O)NC(C(O)=O)C)=O)C(O)=O)=O)C)C(O)C(O1)CO)NC(C)=O)O)C)C)C)C)C"
"270";"6-[[4-[2-[2-[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid";"CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(C)=CCOP(=O)(O)OP(=O)(O)OC1OC(C(C(OC(C(=O)NC(C(=O)NC(C(O)=O)CCC(=O)NC(CCCC(C(O)=O)N)C(NC(C)C(=O)NC(C(=O)O)C)=O)C)C)C1NC(=O)C)OC1OC(C(C(O)C1NC(=O)C)O)CO)CO)C)C)C)C)C)C"
"271";"calcium(2+)";"[Ca+2]"
"273";"pentane-1,5-diamine";"C(N)CCCCN"
"274";"6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol";"c12c(N)ncnc1n(cn2)C1C(C2OP(O)(OCC2O1)=O)O"
"275";"2-amino-4-(diaminomethylideneamino)oxybutanoic acid";"NC(N)=NOCCC(N)C(O)=O"
"276";"carbamate";"[O-]C(N)=O"
"277";"carbamic acid";"C(N)(=O)O"
"278";"phosphono carbamate";"OP(O)(OC(N)=O)=O"
"279";"2-(carbamoylamino)butanedioic acid";"C(=O)(NC(C(O)=O)CC(=O)O)N"
"280";"O=C=O";""
"281";"carbon monoxide";"[C-]#[O+]"
"282";"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid";"C(C1=CC=CC(C1O)O)CC(=O)O"
"283";"formate";"O=C[O-]"
"284";"formic acid";"O=CO"
"285";"2-aminooxyacetate";"[O-]C(CON)=O"
"286";"2-aminooxyacetic acid";"C(C(=O)O)ON"
"287";"2-[(3,4-dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid";"OP(O)(=O)OCC(O)C(C(=O)CNc1ccccc1C(=O)O)O"
"288";"3-hydroxy-4-(trimethylazaniumyl)butanoate";"C[N+](C)(C)CC(CC([O-])=O)O"
"289";"benzene-1,2-diol";"Oc1c(O)cccc1"
"290";"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate";"OP(O)(OP(=O)(OCC1OC(C(C1O)O)N1C=CC(N)=NC1=O)O)=O"
"291";"2-[[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxyethyl-trimethylazanium";"C[N+](C)(C)CCOP(O)(=O)OP(OCC1C(C(C(N2C(N=C(N)C=C2)=O)O1)O)O)(=O)O"
"292";"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate";"C1(OP(=O)(O)OP(OCC2OC(N3C(=O)N=C(N)C=C3)C(O)C2O)(=O)O)C(O)C(C(O)C(CO)O1)O"
"293";"[2-aminoethoxy(hydroxy)phosphoryl] [5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate";"NCCOP(=O)(O)OP(OCC1OC(N2C(=O)N=C(N)C=C2)C(O)C1O)(=O)O"
"294";"2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol";"C1(O)C(C(O)C(CO)OC1OC1C(OC(O)C(O)C1O)CO)O"
"296";"2-methyl-3-oxopropanoic acid";"O=CC(C)C(=O)O"
"297";"methane";"C"
"298";"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide";"ClC(Cl)C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])=O"
"299";"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one";"C12(C3(Cl)C4(C5(C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(C35Cl)=O)Cl)Cl)Cl"
"300";"2-chloroacetic acid";"C(Cl)C(=O)O"
"301";"2-chlorobenzene-1,4-diol";"c1c(O)c(cc(O)c1)Cl"
"302";"4-(3,12-dihydroxy-10,13-dimethyl-7-oxo-1,2,3,4,5,6,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid";"C(CC(C1CCC2C1(C(O)CC1C3(C(CC(=O)C12)CC(O)CC3)C)C)C)C(=O)O"
"303";"4-(3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid";"C(CC(C1CCC2C3C(O)CC4C(CCC(O)C4)(C3CC(O)C12C)C)C)C(=O)O"
"304";"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol";"CC(C)CCCC(C)C1C2(CCC3C(C2CC1)CC=C1CC(O)CCC13C)C"
"305";"2-hydroxyethyl(trimethyl)azanium";"C[N+](C)(C)CCO"
"306";"3-(1-carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid";"C=C(OC1C=C(C=CC1O)C(=O)O)C(O)=O"
"307";"3-phenylprop-2-enal";"c1ccccc1C=CC=O"
"308";"3-phenylprop-2-en-1-ol";"c1ccccc1C=CCO"
"309";"prop-1-ene-1,2,3-tricarboxylic acid";"C(CC(C(O)=O)=CC(O)=O)(=O)O"
"310";"hexa-2,4-dienedioic acid";"C(O)(=O)C=CC=CC(O)=O"
"311";"2-hydroxypropane-1,2,3-tricarboxylic acid";"OC(CC(CC(O)=O)(O)C(=O)O)=O"
"312";"chloride";"[Cl-]"
"313";"chlorane";"Cl"
"314";"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(=O)OCC1C(C(C(N2C=CC(N)=NC2=O)O1)O)O"
"315";"8-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4,5,6,7-tetrahydroxy-2-oxooctanoic acid";"OC1C(C(OC1N1C(=O)N=C(N)C=C1)COP(OCC(C(O)C(O)C(O)CC(=O)C(O)=O)O)(=O)O)O"
"316";"5-acetamido-2-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid";"C(O)C(O)C(C1OC(OP(O)(=O)OCC2OC(C(C2O)O)N2C=CC(=NC2=O)N)(C(O)=O)CC(C1NC(C)=O)O)O"
"317";"[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(NCCC(=O)NCCS)=O)O"
"319";"3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide";"CC1(C)C2=NC(C(C=3C(CCC(=O)NCC(C)O)(C(C(C4(N=C(C(CCC(=O)N)C4(C)CC(N)=O)C(C)=C4C(CC(N)=O)(C)C(CCC(N)=O)C(=N4)C2)C)N=3)CC(N)=O)C)C)C1CCC(=O)N"
"320";"2-(8-hydroxy-7,8-dihydro-4H-imidazo[4,5-d][1,3]diazepin-3-yl)-5-(hydroxymethyl)oxolane-3,4-diol";"OCC1C(O)C(C(n2c3NC=NCC(O)c3nc2)O1)O"
"321";"3-[8,12,17-tris(2-carboxyethyl)-3,7,13,18-tetramethyl-5,10,15,20,21,22,23,24-octahydroporphyrin-2-yl]propanoic acid";"c1(c2[nH]c(Cc3c(C)c(c(Cc4[nH]c(c(CCC(=O)O)c4C)Cc4c(c(CCC(=O)O)c(C2)[nH]4)C)[nH]3)CCC(O)=O)c1C)CCC(=O)O"
"322";"3-(4-hydroxyphenyl)prop-2-enoic acid";"c1cc(ccc1C=CC(O)=O)O"
"323";"chromen-2-one";"c12OC(C=Cc1cccc2)=O"
"324";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-(4-hydroxyphenyl)prop-2-enethioate";"c1cc(ccc1C=CC(SCCNC(CCNC(C(C(C)(C)COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)O)=O)=O)=O)O"
"325";"(4-propan-2-ylphenyl)methanol";"c1cc(ccc1CO)C(C)C"
"326";"4-propan-2-ylbenzaldehyde";"c1cc(ccc1C=O)C(C)C"
"328";"2-hydroxy-2-(4-hydroxyphenyl)acetic acid";"c1cc(ccc1C(C(=O)O)O)O"
"329";"(3,4-dihydroxy-5-methylsulfanyl-2-oxopentyl) dihydrogen phosphate";"OP(O)(OCC(=O)C(O)C(O)CSC)=O"
"330";"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol";"CC(C)CCCC(C)C1CCC2C1(C)CCC=1C3(C)C(CCC=12)CC(O)CC3"
"331";"3,5-diaminohexanoic acid";"C(C(N)CC(=O)O)C(N)C"
"332";"4-ethenyl-2-methoxyphenol";"c1cc(O)c(cc1C=C)OC"
"333";"[5-[(5-amino-2,4-dioxo-1H-pyrimidin-6-yl)amino]-2,3,4-trihydroxypentyl] dihydrogen phosphate";"OP(O)(=O)OCC(O)C(C(CNC1=C(N)C(NC(N1)=O)=O)O)O"
"334";"7-hydroxy-10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one";"CC(C)CCCC(C1CCC2C1(C)CCC1C2C(CC2=CC(=O)CCC12C)O)C"
"335";"2-methylphenol";"Cc1c(O)cccc1"
"336";"2-(carbamoylamino)-2-hydroxyacetic acid";"C(=O)(NC(O)C(O)=O)N"
